REG;COM;IND;value
Uusimaa;01 Maatalous ja metsästys;01 Maatalous ja metsästys;3.6183457374572754
Uusimaa;02_03 Metsätalous ja kalatalous;01 Maatalous ja metsästys;0.1235930398106575
Uusimaa;05_09 Kaivostoiminta ja louhinta;01 Maatalous ja metsästys;0.005335904657840729
Uusimaa;10_12 Elintarviketeollisuus ym.;01 Maatalous ja metsästys;12.794225692749023
Uusimaa;13_15 Tekstiili-, vaatetus- ja nahkateollisuus;01 Maatalous ja metsästys;0.005774879362434149
Uusimaa;16 Puuteollisuus;01 Maatalous ja metsästys;0.003890013787895441
Uusimaa;17_18 Paperiteollisuus ja painaminen;01 Maatalous ja metsästys;0.058693092316389084
Uusimaa;19_22 Kemianteollisuus;01 Maatalous ja metsästys;13.951820373535156
Uusimaa;23 Rakennusaineteollisuus;01 Maatalous ja metsästys;0.054284706711769104
Uusimaa;24_25 Metallien jalostus ja metallituotteiden valmistus (pl. koneet ja laitteet);01 Maatalous ja metsästys;0.4553426206111908
Uusimaa;26_27 Sähkö- ja elektroniikkateollisuus;01 Maatalous ja metsästys;0.0008328452822752297
Uusimaa;28 Muiden koneiden ja laitteiden valmistus;01 Maatalous ja metsästys;0.6100636124610901
Uusimaa;29_30 Kulkuneuvojen valmistus;01 Maatalous ja metsästys;0.0
Uusimaa;31_33 Huonekalujen valmistus: Muu teollinen valmistus: Koneiden ja laitteiden korjaus, huolto ja ase;01 Maatalous ja metsästys;2.4795470237731934
Uusimaa;35_39 Energiahuolto: Vesi- ja jätehuolto;01 Maatalous ja metsästys;4.646965026855469
Uusimaa;41_43 Rakentaminen;01 Maatalous ja metsästys;13.594944953918457
Uusimaa;45_47 Tukku- ja vähittäiskauppa, moottoriajoneuvojen ja moottoripyörien korjaus;01 Maatalous ja metsästys;28.70618438720703
Uusimaa;49_53 Kuljetus ja varastointi;01 Maatalous ja metsästys;2.05535888671875
Uusimaa;55_56 Majoitus- ja ravitsemistoiminta;01 Maatalous ja metsästys;0.21699315309524536
Uusimaa;58_63 Kustannustoiminta: Audiovisuaalinen toiminta: Televiestintä: Tietojenkäsittelypalvelu;01 Maatalous ja metsästys;0.21928444504737854
Uusimaa;64_66 Rahoitus- ja vakuutustoiminta;01 Maatalous ja metsästys;3.1893551349639893
Uusimaa;681+68209+683 Muu kiinteistötoiminta;01 Maatalous ja metsästys;0.08342596888542175
Uusimaa;68201_68202 Asuntojen vuokraus ja hallinta;01 Maatalous ja metsästys;0.0
Uusimaa;69_75 Ammatillinen, tieteellinen ja tekninen toiminta;01 Maatalous ja metsästys;2.339311361312866
Uusimaa;77_82 Hallinto- ja tukipalvelutoiminta;01 Maatalous ja metsästys;15.256793975830078
Uusimaa;84 Julkinen hallinto ja sosiaalivakuutus;01 Maatalous ja metsästys;0.5263506770133972
Uusimaa;85 Koulutus;01 Maatalous ja metsästys;0.0370391421020031
Uusimaa;86_88 Terveys- ja sosiaalipalvelut;01 Maatalous ja metsästys;0.0
Uusimaa;90_96 Taiteet, viihde ja virkistys: Muu palvelutoiminta;01 Maatalous ja metsästys;0.32453662157058716
Uusimaa;97_98 Kotitalouspalvelut;01 Maatalous ja metsästys;0.0
Uusimaa;Tuotteet yhteensä;01 Maatalous ja metsästys;105.3582992553711
Uusimaa;Kotimaisten tuontituotteiden käyttö yhteensä;01 Maatalous ja metsästys;27.641555786132812
Uusimaa;Ulkomaisten tuontituotteiden käyttö yhteensä;01 Maatalous ja metsästys;26.973140716552734
Uusimaa;Tuoteverot miinus tuotetukipalkkio;01 Maatalous ja metsästys;4.922164440155029
Uusimaa;Välituotekäyttö/loppukäyttö yhteensä ostajanhintaan;01 Maatalous ja metsästys;164.8951416015625
Uusimaa;Palkansaajakorvaukset;01 Maatalous ja metsästys;27.028484344482422
Uusimaa;Pääomakorvaukset;01 Maatalous ja metsästys;130.18252563476562
Uusimaa;Maankäytön korvaukset;01 Maatalous ja metsästys;18.017353057861328
Uusimaa;Muut tuotantoverot, netto;01 Maatalous ja metsästys;-80.80679321289062
Uusimaa;Arvonlisäys, brutto perushintaan;01 Maatalous ja metsästys;94.42156982421875
Uusimaa;Tuotos perushintaan;01 Maatalous ja metsästys;259.31671142578125
Uusimaa;01 Maatalous ja metsästys;02_03 Metsätalous ja kalatalous;0.006179505959153175
Uusimaa;02_03 Metsätalous ja kalatalous;02_03 Metsätalous ja kalatalous;8.184137344360352
Uusimaa;05_09 Kaivostoiminta ja louhinta;02_03 Metsätalous ja kalatalous;0.011757836677134037
Uusimaa;10_12 Elintarviketeollisuus ym.;02_03 Metsätalous ja kalatalous;0.20602667331695557
Uusimaa;13_15 Tekstiili-, vaatetus- ja nahkateollisuus;02_03 Metsätalous ja kalatalous;0.007294278591871262
Uusimaa;16 Puuteollisuus;02_03 Metsätalous ja kalatalous;0.0013255570083856583
Uusimaa;17_18 Paperiteollisuus ja painaminen;02_03 Metsätalous ja kalatalous;0.1406426876783371
Uusimaa;19_22 Kemianteollisuus;02_03 Metsätalous ja kalatalous;5.520159721374512
Uusimaa;23 Rakennusaineteollisuus;02_03 Metsätalous ja kalatalous;0.0
Uusimaa;24_25 Metallien jalostus ja metallituotteiden valmistus (pl. koneet ja laitteet);02_03 Metsätalous ja kalatalous;0.0030540497973561287
Uusimaa;26_27 Sähkö- ja elektroniikkateollisuus;02_03 Metsätalous ja kalatalous;0.001320957555435598
Uusimaa;28 Muiden koneiden ja laitteiden valmistus;02_03 Metsätalous ja kalatalous;0.0
Uusimaa;29_30 Kulkuneuvojen valmistus;02_03 Metsätalous ja kalatalous;0.09138977527618408
Uusimaa;31_33 Huonekalujen valmistus: Muu teollinen valmistus: Koneiden ja laitteiden korjaus, huolto ja ase;02_03 Metsätalous ja kalatalous;0.10867638140916824
Uusimaa;35_39 Energiahuolto: Vesi- ja jätehuolto;02_03 Metsätalous ja kalatalous;0.9116814732551575
Uusimaa;41_43 Rakentaminen;02_03 Metsätalous ja kalatalous;0.03815125301480293
Uusimaa;45_47 Tukku- ja vähittäiskauppa, moottoriajoneuvojen ja moottoripyörien korjaus;02_03 Metsätalous ja kalatalous;10.811245918273926
Uusimaa;49_53 Kuljetus ja varastointi;02_03 Metsätalous ja kalatalous;2.12147855758667
