REG;COM;IND;value
Uusimaa;01 Maatalous ja metsästys;01 Maatalous ja metsästys;211.08826
Uusimaa;02_03 Metsätalous ja kalatalous;01 Maatalous ja metsästys;0.13933983
Uusimaa;05_09 Kaivostoiminta ja louhinta;01 Maatalous ja metsästys;0.0
Uusimaa;10_12 Elintarviketeollisuus ym.;01 Maatalous ja metsästys;0.75884897
Uusimaa;13_15 Tekstiili-, vaatetus- ja nahkateollisuus;01 Maatalous ja metsästys;0.0
Uusimaa;16 Puuteollisuus;01 Maatalous ja metsästys;0.7962271
Uusimaa;17_18 Paperiteollisuus ja painaminen;01 Maatalous ja metsästys;0.0
Uusimaa;19_22 Kemianteollisuus;01 Maatalous ja metsästys;0.0
Uusimaa;23 Rakennusaineteollisuus;01 Maatalous ja metsästys;0.0
Uusimaa;24_25 Metallien jalostus ja metallituotteiden valmistus (pl. koneet ja laitteet);01 Maatalous ja metsästys;0.0
Uusimaa;26_27 Sähkö- ja elektroniikkateollisuus;01 Maatalous ja metsästys;0.0
Uusimaa;28 Muiden koneiden ja laitteiden valmistus;01 Maatalous ja metsästys;0.0
Uusimaa;29_30 Kulkuneuvojen valmistus;01 Maatalous ja metsästys;0.0
Uusimaa;31_33 Huonekalujen valmistus: Muu teollinen valmistus: Koneiden ja laitteiden korjaus, huolto ja ase;01 Maatalous ja metsästys;0.0
Uusimaa;35_39 Energiahuolto: Vesi- ja jätehuolto;01 Maatalous ja metsästys;0.0
Uusimaa;41_43 Rakentaminen;01 Maatalous ja metsästys;0.0
Uusimaa;45_47 Tukku- ja vähittäiskauppa, moottoriajoneuvojen ja moottoripyörien korjaus;01 Maatalous ja metsästys;0.29137093
Uusimaa;49_53 Kuljetus ja varastointi;01 Maatalous ja metsästys;0.0
Uusimaa;55_56 Majoitus- ja ravitsemistoiminta;01 Maatalous ja metsästys;2.0767908
Uusimaa;58_63 Kustannustoiminta: Audiovisuaalinen toiminta: Televiestintä: Tietojenkäsittelypalvelu;01 Maatalous ja metsästys;0.0
Uusimaa;64_66 Rahoitus- ja vakuutustoiminta;01 Maatalous ja metsästys;0.0
Uusimaa;681+68209+683 Muu kiinteistötoiminta;01 Maatalous ja metsästys;0.0
Uusimaa;68201_68202 Asuntojen vuokraus ja hallinta;01 Maatalous ja metsästys;0.0
Uusimaa;69_75 Ammatillinen, tieteellinen ja tekninen toiminta;01 Maatalous ja metsästys;0.09977182
Uusimaa;77_82 Hallinto- ja tukipalvelutoiminta;01 Maatalous ja metsästys;21.836168
Uusimaa;84 Julkinen hallinto ja sosiaalivakuutus;01 Maatalous ja metsästys;0.0
Uusimaa;85 Koulutus;01 Maatalous ja metsästys;0.0
Uusimaa;86_88 Terveys- ja sosiaalipalvelut;01 Maatalous ja metsästys;0.0
Uusimaa;90_96 Taiteet, viihde ja virkistys: Muu palvelutoiminta;01 Maatalous ja metsästys;0.0
Uusimaa;97_98 Kotitalouspalvelut;01 Maatalous ja metsästys;0.0
Uusimaa;Tuotteet yhteensä;01 Maatalous ja metsästys;237.08679
Uusimaa;01 Maatalous ja metsästys;02_03 Metsätalous ja kalatalous;0.0
Uusimaa;02_03 Metsätalous ja kalatalous;02_03 Metsätalous ja kalatalous;230.26385
Uusimaa;05_09 Kaivostoiminta ja louhinta;02_03 Metsätalous ja kalatalous;0.0
Uusimaa;10_12 Elintarviketeollisuus ym.;02_03 Metsätalous ja kalatalous;0.0
Uusimaa;13_15 Tekstiili-, vaatetus- ja nahkateollisuus;02_03 Metsätalous ja kalatalous;0.0
Uusimaa;16 Puuteollisuus;02_03 Metsätalous ja kalatalous;0.0
Uusimaa;17_18 Paperiteollisuus ja painaminen;02_03 Metsätalous ja kalatalous;0.0
Uusimaa;19_22 Kemianteollisuus;02_03 Metsätalous ja kalatalous;0.0
Uusimaa;23 Rakennusaineteollisuus;02_03 Metsätalous ja kalatalous;0.0
Uusimaa;24_25 Metallien jalostus ja metallituotteiden valmistus (pl. koneet ja laitteet);02_03 Metsätalous ja kalatalous;0.0
Uusimaa;26_27 Sähkö- ja elektroniikkateollisuus;02_03 Metsätalous ja kalatalous;0.0
Uusimaa;28 Muiden koneiden ja laitteiden valmistus;02_03 Metsätalous ja kalatalous;0.0
Uusimaa;29_30 Kulkuneuvojen valmistus;02_03 Metsätalous ja kalatalous;0.0
Uusimaa;31_33 Huonekalujen valmistus: Muu teollinen valmistus: Koneiden ja laitteiden korjaus, huolto ja ase;02_03 Metsätalous ja kalatalous;0.0
Uusimaa;35_39 Energiahuolto: Vesi- ja jätehuolto;02_03 Metsätalous ja kalatalous;0.0
Uusimaa;41_43 Rakentaminen;02_03 Metsätalous ja kalatalous;0.28070807
Uusimaa;45_47 Tukku- ja vähittäiskauppa, moottoriajoneuvojen ja moottoripyörien korjaus;02_03 Metsätalous ja kalatalous;0.0
Uusimaa;49_53 Kuljetus ja varastointi;02_03 Metsätalous ja kalatalous;0.0
Uusimaa;55_56 Majoitus- ja ravitsemistoiminta;02_03 Metsätalous ja kalatalous;0.0
Uusimaa;58_63 Kustannustoiminta: Audiovisuaalinen toiminta: Televiestintä: Tietojenkäsittelypalvelu;02_03 Metsätalous ja kalatalous;0.0
Uusimaa;64_66 Rahoitus- ja vakuutustoiminta;02_03 Metsätalous ja kalatalous;0.0
Uusimaa;681+68209+683 Muu kiinteistötoiminta;02_03 Metsätalous ja kalatalous;0.8737488
Uusimaa;68201_68202 Asuntojen vuokraus ja hallinta;02_03 Metsätalous ja kalatalous;0.0
Uusimaa;69_75 Ammatillinen, tieteellinen ja tekninen toiminta;02_03 Metsätalous ja kalatalous;0.0
Uusimaa;77_82 Hallinto- ja tukipalvelutoiminta;02_03 Metsätalous ja kalatalous;0.0
Uusimaa;84 Julkinen hallinto ja sosiaalivakuutus;02_03 Metsätalous ja kalatalous;0.0
Uusimaa;85 Koulutus;02_03 Metsätalous ja kalatalous;0.0
Uusimaa;86_88 Terveys- ja sosiaalipalvelut;02_03 Metsätalous ja kalatalous;0.0
Uusimaa;90_96 Taiteet, viihde ja virkistys: Muu palvelutoiminta;02_03 Metsätalous ja kalatalous;3.876077
Uusimaa;97_98 Kotitalouspalvelut;02_03 Metsätalous ja kalatalous;0.0
Uusimaa;Tuotteet yhteensä;02_03 Metsätalous ja kalatalous;235.29439
Uusimaa;01 Maatalous ja metsästys;05_09 Kaivostoiminta ja louhinta;0.0
Uusimaa;02_03 Metsätalous ja kalatalous;05_09 Kaivostoiminta ja louhinta;0.24310431
Uusimaa;05_09 Kaivostoiminta ja louhinta;05_09 Kaivostoiminta ja louhinta;196.30826
Uusimaa;10_12 Elintarviketeollisuus ym.;05_09 Kaivostoiminta ja louhinta;0.020546358
Uusimaa;13_15 Tekstiili-, vaatetus- ja nahkateollisuus;05_09 Kaivostoiminta ja louhinta;0.0
Uusimaa;16 Puuteollisuus;05_09 Kaivostoiminta ja louhinta;0.87006176
Uusimaa;17_18 Paperiteollisuus ja painaminen;05_09 Kaivostoiminta ja louhinta;0.0
